id,loc
7335942,"УБ — Баянзүрх, 16-р хороолол"
7335942,"УБ — Баянзүрх, 16-р хороолол"
7413442,УБ — Сүхбаатар
7504007,"УБ — Баянгол, 3, 4 хороолол"
7547748,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7554632,"УБ — Баянгол, 3, 4 хороолол"
7561486,"УБ — Хан-Уул, Био комбинат"
6018686,"УБ — Баянзүрх, 16-р хороолол"
4376402,"УБ — Баянзүрх, 16-р хороолол"
4214828,"УБ — Баянзүрх, 16-р хороолол"
4623219,"УБ — Баянзүрх, 16-р хороолол"
3752042,"УБ — Баянзүрх, 16-р хороолол"
6018686,"УБ — Баянзүрх, 16-р хороолол"
5496455,"УБ — Баянзүрх, 16-р хороолол"
6022345,"УБ — Баянзүрх, 16-р хороолол"
6151640,"УБ — Баянзүрх, 16-р хороолол"
7588215,УБ — Сүхбаатар
7439550,"УБ — Баянзүрх, Сансар"
7265370,"УБ — Баянзүрх, 16-р хороолол"
7101840,"УБ — Баянзүрх, Зүүн 4 зам"
7564427,УБ — Сүхбаатар
7578770,"УБ — Сүхбаатар, 11-р хороолол"
7311328,"УБ — Сонгинохайрхан, 5 шар"
7311328,"УБ — Сонгинохайрхан, 5 шар"
7605635,"УБ — Баянзүрх, Баянзүрх, Хороо 3"
7626019,"УБ — Баянзүрх, Сансар"
7548530,"УБ — Баянгол, 3, 4 хороолол"
7349288,"УБ — Сүхбаатар, Сүхбаатар, Хороо 20"
7538502,"УБ — Баянгол, Баянгол, Хороо 5"
7591479,"УБ — Сонгинохайрхан, 5 шар"
7597591,"УБ — Сонгинохайрхан, 1-р хороолол"
7504786,"УБ — Баянгол, 3, 4 хороолол"
7325087,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7581067,"УБ — Баянзүрх, Сансар"
7588698,"УБ — Баянзүрх, Сансар"
7574963,"УБ — Хан-Уул, 19-р хороолол"
7622173,"УБ — Сүхбаатар, Бага тойрог"
7573187,"УБ — Баянзүрх, Баянзүрх, Хороо 3"
7636450,УБ — Сүхбаатар
7573388,УБ — Сүхбаатар
7634188,"УБ — Баянзүрх, Сансар"
7384818,"УБ — Хан-Уул, 19-р хороолол"
7384818,"УБ — Хан-Уул, 19-р хороолол"
7432539,"УБ — Баянзүрх, Сансар"
7530502,"УБ — Баянгол, Баруун 4 зам"
7622092,"УБ — Баянгол, 3, 4 хороолол"
7597066,"УБ — Баянгол, Баянгол, Хороо 18"
7484553,УБ — Сүхбаатар
7484553,"УБ — Хан-Уул, 19-р хороолол"
7590977,УБ — Сүхбаатар
7547837,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7599307,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7599307,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7454236,"УБ — Хан-Уул, 19-р хороолол"
7600813,"УБ — Хан-Уул, 19-р хороолол"
7492365,УБ — Сүхбаатар
7492365,"УБ — Баянгол, 3, 4 хороолол"
7574920,УБ — Сүхбаатар
7586283,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5"
7473551,"УБ — Баянгол, 3, 4 хороолол"
7473551,"УБ — Баянгол, 3, 4 хороолол"
7565122,"УБ — Баянгол, 3, 4 хороолол"
7533473,"УБ — Баянзүрх, Баянзүрх, Хороо 7"
7509753,"УБ — Баянгол, Ханбүргэдэй"
7615429,"УБ — Баянгол, 3, 4 хороолол"
7597895,"УБ — Баянгол, 3, 4 хороолол"
7535043,"УБ — Баянгол, 3, 4 хороолол"
7597895,"УБ — Баянгол, 3, 4 хороолол"
7553572,"УБ — Баянгол, 3, 4 хороолол"
7201663,"УБ — Баянзүрх, 13-р хороолол"
7526827,"УБ — Сүхбаатар, Бага тойрог"
7569581,"УБ — Баянгол, 3, 4 хороолол"
6028802,УБ — Баянзүрх
7290601,УБ — Сүхбаатар
7626465,"УБ — Баянгол, 3, 4 хороолол"
7546613,УБ — Чингэлтэй
7540100,УБ — Сүхбаатар
7197738,УБ — Сүхбаатар
7197738,"УБ — Баянгол, 3, 4 хороолол"
7553555,"УБ — Сүхбаатар, Бага тойрог"
7327484,"УБ — Хан-Уул, 19-р хороолол"
7327484,"УБ — Хан-Уул, 19-р хороолол"
7460550,"УБ — Хан-Уул, 19-р хороолол"
7460550,"УБ — Хан-Уул, 19-р хороолол"
7389360,"УБ — Баянзүрх, Сансар"
7621146,УБ — Сүхбаатар
7550922,"УБ — Баянзүрх, Сансар"
7464939,"УБ — Сонгинохайрхан, 21-р хороолол"
7555910,"УБ — Баянзүрх, Сансар"
7451267,"УБ — Баянгол, 3, 4 хороолол"
7629490,УБ — Сүхбаатар
7536996,"УБ — Сонгинохайрхан, 1-р хороолол"
7198654,"УБ — Баянгол, 3, 4 хороолол"
7604472,"УБ — Баянгол, Баянгол, Хороо 15"
7198654,"УБ — Баянгол, 3, 4 хороолол"
7574518,УБ — Сүхбаатар
7609895,"УБ — Чингэлтэй, 40, 50 мянгат"
7485670,"УБ — Хан-Уул, 19-р хороолол"
7637236,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8"
7548668,"УБ — Сүхбаатар, Сүхбаатар, Хороо 3"
7482339,"УБ — Сүхбаатар, 11-р хороолол"
7482339,"УБ — Сүхбаатар, 11-р хороолол"
7555222,"УБ — Сүхбаатар, Сүхбаатар, Хороо 3"
7318977,"УБ — Баянзүрх, Сансар"
7363647,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2"
7578809,"УБ — Баянгол, Төмөр зам"
7546528,"УБ — Сүхбаатар, Бага тойрог"
7584531,"УБ — Сүхбаатар, 220 мянгат"
7497099,"УБ — Сүхбаатар, 220 мянгат"
7363647,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2"
7450787,"УБ — Сүхбаатар, 5-р хороолол"
7532073,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2"
7532376,"УБ — Сүхбаатар, Бага тойрог"
7414347,УБ — Сүхбаатар
7635339,"УБ — Баянзүрх, Сансар"
7539569,"УБ — Хан-Уул, Хан-Уул, Хороо 3"
7540874,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2"
7533210,"УБ — Чингэлтэй, 40, 50 мянгат"
7581349,УБ — Сүхбаатар
6982297,Орхон
7418723,УБ — Сүхбаатар
7621859,УБ — Сүхбаатар
7507052,"УБ — Хан-Уул, 120 мянгат"
7471608,"УБ — Сүхбаатар, Сүхбаатар, Хороо 6"
7562879,"УБ — Сүхбаатар, Бага тойрог"
7616406,"УБ — Сүхбаатар, 5-р хороолол"
7593158,УБ — Сүхбаатар
7432124,УБ — Сүхбаатар
7311063,УБ — Сүхбаатар
7527020,"УБ — Хан-Уул, 19-р хороолол"
7144272,"УБ — Чингэлтэй, 40, 50 мянгат"
7580858,"УБ — Сүхбаатар, 220 мянгат"
7538208,"УБ — Чингэлтэй, 40, 50 мянгат"
7563676,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1"
7616009,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1"
5858154,"УБ — Чингэлтэй, 40, 50 мянгат"
7621627,"УБ — Баянзүрх, Сансар"
7602764,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1"
7498267,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1"
7602764,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1"
7640468,"УБ — Чингэлтэй, 40, 50 мянгат"
7636670,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
7637111,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1"
7596242,"УБ — Баянзүрх, Сансар"
7547022,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 21"
7540993,"УБ — Чингэлтэй, Чингэлтэй, Хороо 4"
7376103,"Дархан-Уул, Дархан-Уул"
7568887,"УБ — Сонгинохайрхан, Ханын материал"
7579511,УБ — Сүхбаатар
7553528,"УБ — Баянзүрх, 16-р хороолол"
7531414,"УБ — Сонгинохайрхан, 21-р хороолол"
7600272,"Дархан-Уул, Дархан-Уул"
7556293,"УБ — Сонгинохайрхан, 5 шар"
7556293,"УБ — Сонгинохайрхан, 5 шар"
7556293,"УБ — Сонгинохайрхан, 5 шар"
7556293,"УБ — Сонгинохайрхан, 5 шар"
7539303,"УБ — Хан-Уул, Нисэх"
7533887,"Дархан-Уул, Дархан-Уул"
7262155,"УБ — Сонгинохайрхан, 21-р хороолол"
7142961,"УБ — Баянзүрх, Сансар"
7572484,"УБ — Баянгол, Баянгол, Хороо 17"
7626847,"УБ — Сонгинохайрхан, 1-р хороолол"
7491431,УБ — Сүхбаатар
7537294,"УБ — Сонгинохайрхан, 5 шар"
7589540,УБ — Сүхбаатар
7633643,"УБ — Баянзүрх, Офицер"
7633643,"УБ — Баянзүрх, Офицер"
7633643,"УБ — Баянзүрх, Офицер"
7602670,"УБ — Баянгол, Баянгол, Хороо 19"
7616490,"УБ — Баянгол, 3, 4 хороолол"
7589686,"УБ — Баянгол, Баянгол, Хороо 4"
7605617,"УБ — Баянгол, 3, 4 хороолол"
7588297,"УБ — Баянгол, 3, 4 хороолол"
7609691,"УБ — Баянгол, 3, 4 хороолол"
7448361,"УБ — Баянгол, 3, 4 хороолол"
7448361,"УБ — Баянгол, 3, 4 хороолол"
7369538,"УБ — Чингэлтэй, 40, 50 мянгат"
7542279,"УБ — Чингэлтэй, Чингэлтэй, Хороо 6"
7607243,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1"
7543198,"УБ — Баянзүрх, Амгалан"
7560955,"УБ — Баянзүрх, Зүүн 4 зам"
7482736,"УБ — Сонгинохайрхан, 21-р хороолол"
7619743,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 19"
7538442,"УБ — Баянгол, 10-р хороолол"
7124470,"УБ — Баянзүрх, Амгалан"
7124470,"УБ — Баянзүрх, Амгалан"
7190122,"УБ — Баянзүрх, Баянзүрх, Хороо 8"
7085228,"УБ — Баянзүрх, Амгалан"
7615295,УБ — Сүхбаатар
