,Indicator Name
0,"Fund Accounts, UFC & Loans, SDRs"
3,"Fund Accounts, Outstanding Loans, SDRs"
6,"Fund Accounts, SDR Holdings as % of Allocation, Percent per annum"
9,"Fund Accounts, SDR Holdings, Allocations, SDRs"
12,"Fund Accounts, Quota, SDRs"
15,"Fund Accounts, Use of Fund Credit and Loans, Reserve Tranche Position, SDRs"
18,"Fund Accounts, Quota, US Dollars"
21,"Fund Accounts, Lending to the Fund, SDRs"
27,"Fund Accounts, Currency Holdings as % of Quota, Percent per annum"
30,"Fund Accounts, Currency Holdings, SDRs"
45,"Fund Accounts, UFC & Loans, US Dollars"
63,"Fund Accounts, UFC & Loans as % of Quota, Percent per annum"
78,"Fund Accounts, Outstanding GRA, SDRs"
129,"Exchange Rates, Nominal Effective Exchange Rate, Index"
132,"Exchange Rates, Real Effective Exchange Rate based on Consumer Price Index, Index"
135,"International Reserves, Official Reserve Assets, Gold at Market Price, SDRs"
138,"International Reserves, Official Reserve Assets, US Dollars"
141,"International Reserves, Official Reserve Assets, SDRs"
144,"International Reserves, Official Reserve Assets, IMF Reserve Position, US Dollars"
147,"International Liquidity, Total Reserves excluding Gold, US Dollars"
150,"International Reserves, Official Reserve Assets, IMF Reserve Position, SDRs"
153,"International Liquidity, Total Reserves excluding Gold, Foreign Exchange, US Dollars"
156,"International Reserves, Official Reserve Assets, Gold (Including Gold Deposits and, If Appropriate, Gold Swapped), Volume in Millions of Fine Troy Ounces , Fine Troy Ounces"
159,"International Reserves, Official Reserve Assets, Gold (Including Gold Deposits and, If Appropriate, Gold Swapped) , SDRs"
162,"International Liquidity, Gold Holdings, National Valuation, US Dollars"
165,"International Liquidity, Total Reserves excluding Gold, SDRs"
168,"International Reserves, Official Reserve Assets, SDRs, US Dollars"
174,"International Reserves, Official Reserve Assets, SDRs, SDRs"
249,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, US Dollars"
251,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars"
255,"Assets, Portfolio Investment, Debt Securities, US Dollars"
259,"Supplementary Items, Balance on Goods, Services, and Income, US Dollars"
262,"Financial Account, Other Investment, Net Acquisition of Financial Assets, US Dollars"
266,"Supplementary Items, Direct Investment: Net Incurrence of Liabilities: Debt Instruments (Excluding Exceptional Financing), US Dollars"
270,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities, Equity Securities (Excluding Exceptional Financing), US Dollars"
272,"Current Account, Goods and Services, Services, Debit, US Dollars"
276,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars"
283,"Supplementary Items, Direct Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars"
286,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars"
290,"Supplementary Items, Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares (Excluding Exceptional Financing), US Dollars"
293,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"
296,"Current Account, Goods and Services, Goods, Debit, US Dollars"
299,"Financial Account, Other Investment, Other Equity, Net Acquisition of Financial Assets, Debt Instruments, US Dollars"
306,"Current Account, Secondary Income, Debit, US Dollars"
309,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars"
313,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, US Dollars"
315,"Liabilities, Portfolio Investment, US Dollars"
318,"Assets, Other Investment, US Dollars"
322,"Supplementary Items, Total Current + Capital Account, US Dollars"
328,"Capital Account, Total, Debit, US Dollars"
331,"Current Account, Goods and Services, Services, Credit, US Dollars"
338,"Supplementary Items, Capital Account, Credit (Excludes Reserves and Related Items), US Dollars"
341,"Supplementary Items, Current Acct + Capital Acct + Financial Acct, US Dollars"
344,"Current Account, Goods and Services, Goods, Credit, US Dollars"
351,"Financial Account, Other Investment, Other Equity, Net Acquisition of Financial Assets, US Dollars"
355,"Liabilities (with Fund Record), US Dollars"
358,"Assets, Reserve Assets, Net (with Fund Record), US Dollars"
365,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"
373,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Incurrence of Liabilities, US Dollars"
377,"Liabilities, Direct Investment, US Dollars"
381,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, US Dollars"
391,"Assets, Direct Investment, US Dollars"
395,"Supplementary Items, Secondary Income, Credit (Excluding Exceptional Financing), US Dollars"
398,"Assets, Other Investment: Debt Instruments, US Dollars"
409,"Supplementary Items, Errors and Omissions (with Fund Record), US Dollars"
412,"Liabilities, Other Investment, Net Incurrence of Liabilities, Debt Instruments (with Fund Record), US Dollars"
416,"Current Account, Goods and Services, Goods, Net, US Dollars"
423,"Current Account, Primary Income, Debit, US Dollars"
439,"Supplementary Items, Financial Account, Net (Excluding Exceptional Financing), US Dollars"
442,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars"
444,"Liabilities, Direct Investment, Equity and Investment Fund Shares, US Dollars"
453,"Assets (with Fund Record), US Dollars"
460,"Supplementary Items, Capital Account (Excludes Reserves and Related Items), US Dollars"
466,"Current Account, Primary Income, Credit, US Dollars"
483,"Assets, Direct Investment, Debt Instruments, US Dollars"
492,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities (Excluding Exceptional Financing), US Dollars"
494,"Assets, Other Investment, Other Equity, US Dollars"
497,"Supplementary Items, Reserves and Related items, US Dollars"
565,"Assets, Portfolio Investment, US Dollars"
569,"Supplementary Items, Other Investment: Net Incurrence of Liabilities, Debt Instruments, Of which: Other Financial Corporations Of which: Other Financial Corporations (Excluding Exceptional Financing), US Dollars"
576,"Current Account, Goods and Services, Net, US Dollars"
579,"Supplementary Items, Net Credit and Loans from the IMF (Excluding Reserve Position), US Dollars"
582,"Supplementary Items, Current Account, Net (Excluding Exceptional Financing), US Dollars"
601,"Assets, Portfolio Investment, Equity and Investment Fund Shares, US Dollars"
